epoch,reward,complexity,length,is_physical,is_elite,program,program_prefix,a,g
0,0.21936208210853417,8.0,8,True,False,log((-(Om)*-(((((Om)**(0.5)))**(0.5))))),[log mul neg Om neg sqrt sqrt Om],1.0,1.0
0,0.0,27.0,27,False,False,((((((((((((-((a*((((((((sigma8*(a/(sigma8*w)))-g))**(2)))**(2)))**(2)))))**(2))-a)-a)+1.0))**(2)))**(2))+g))**(2)),"[n2 add n2 n2 add sub sub n2 neg mul a n2 n2 n2 sub mul sigma8 div a mul
 sigma8 w g a a 1.0 g]",1.0,1.0
0,0.0,22.0,22,False,False,((-((Om-(((log((((((((g-g))**(2))-(Om*((g)**(2))))*(g/g)))**(2))))**(0.5))*sigma8))))**(2)),"[n2 neg sub Om mul sqrt log n2 mul sub n2 sub g g mul Om n2 g div g g
 sigma8]",1.0,1.0
0,0.0,21.0,21,False,False,(sigma8*((((((((((1.0*g)-(g-g)))**(-1))/sigma8))**(0.5)))**(-1))*(((w/(1.0/a)))**(-1)))),"[mul sigma8 mul inv sqrt div inv sub mul 1.0 g sub g g sigma8 inv div w
 div 1.0 a]",1.0,1.0
0,0.18328378307613527,9.0,9,True,False,(((1.0-1.0)+w)*-(exp(w))),[mul add sub 1.0 1.0 w neg exp w],1.0,1.0
0,0.1838400855690769,5.0,5,True,False,exp(-(((log(Om))**(0.5)))),[exp neg sqrt log Om],1.0,1.0
0,0.24932674462854326,4.0,4,True,True,-(exp(-(w))),[neg exp neg w],1.0,1.0
0,0.18639772536254817,9.0,9,True,False,log((((((w*(-(w)-w)))**(0.5)))**(0.5))),[log sqrt sqrt mul w sub neg w w],1.0,1.0
0,0.2083176920273313,13.0,13,True,False,(w/(log((((exp(((((sigma8)**(0.5)))**(-1)))--(sigma8)))**(0.5)))+Om)),[div w add log sqrt sub exp inv sqrt sigma8 neg sigma8 Om],1.0,1.0
0,0.2267191629550665,8.0,8,True,True,-((((((Om*(w/w)))**(-1)))**(0.5))),[neg sqrt inv mul Om div w w],1.0,1.0
0,0.0,23.0,23,False,False,(((((a)**(0.5))*(g/(exp((-(w)-(sigma8+sigma8)))/(((a*-(((sigma8-w)-a))))**(-1))))))**(-1)),"[inv mul sqrt a div g div exp sub neg w add sigma8 sigma8 inv mul a neg
 sub sub sigma8 w a]",1.0,1.0
0,0.17947240856102398,12.0,12,True,False,(((((((-((1.0-(exp(Om)+w)))+w))**(0.5)))**(-1)))**(2)),[n2 inv sqrt add neg sub 1.0 add exp Om w w],1.0,1.0
0,0.20802772295745794,7.0,7,True,False,-((((w)**(2))+-(log(1.0)))),[neg add n2 w neg log 1.0],1.0,1.0
